"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 09 19:53:17 GMT 2023","Mon Oct 09 19:53:23 GMT 2023","5326","","Login","","","","com sucesso",""
"passed","Mon Oct 09 19:53:15 GMT 2023","Mon Oct 09 19:53:16 GMT 2023","968","","Login","","","","usuário não existe",""
"passed","Mon Oct 09 19:53:13 GMT 2023","Mon Oct 09 19:53:15 GMT 2023","1437","","Login","","","","usuário obrigatório",""
"passed","Mon Oct 09 19:53:16 GMT 2023","Mon Oct 09 19:53:17 GMT 2023","928","","Login","","","","senha incorreta",""
"passed","Mon Oct 09 19:53:15 GMT 2023","Mon Oct 09 19:53:15 GMT 2023","763","","Login","","","","senha obrigatória",""
