"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 18:42:13 GMT 2024","Thu Feb 01 18:42:15 GMT 2024","1270","","Login","","","","usuário obrigatório",""
"passed","Thu Feb 01 18:42:17 GMT 2024","Thu Feb 01 18:42:17 GMT 2024","774","","Login","","","","com sucesso",""
"passed","Thu Feb 01 18:42:15 GMT 2024","Thu Feb 01 18:42:16 GMT 2024","750","","Login","","","","usuário não existe",""
"passed","Thu Feb 01 18:42:16 GMT 2024","Thu Feb 01 18:42:17 GMT 2024","714","","Login","","","","senha incorreta",""
"passed","Thu Feb 01 18:42:15 GMT 2024","Thu Feb 01 18:42:15 GMT 2024","516","","Login","","","","senha obrigatória",""
