"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 18:38:32 GMT 2024","Thu Feb 01 18:38:33 GMT 2024","522","","Login","","","","senha obrigatória",""
"passed","Thu Feb 01 18:38:31 GMT 2024","Thu Feb 01 18:38:32 GMT 2024","1437","","Login","","","","usuário obrigatório",""
"passed","Thu Feb 01 18:38:33 GMT 2024","Thu Feb 01 18:38:34 GMT 2024","719","","Login","","","","senha incorreta",""
"passed","Thu Feb 01 18:38:33 GMT 2024","Thu Feb 01 18:38:33 GMT 2024","800","","Login","","","","usuário não existe",""
"failed","Thu Feb 01 18:38:34 GMT 2024","Thu Feb 01 18:38:39 GMT 2024","4987","","Login","","","","com sucesso",""
