"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 13:20:24 GMT 2024","Thu Apr 18 13:20:25 GMT 2024","768","","Login","","","","usuário não existe",""
"failed","Thu Apr 18 13:20:25 GMT 2024","Thu Apr 18 13:20:30 GMT 2024","4940","","Login","","","","com sucesso",""
"passed","Thu Apr 18 13:20:22 GMT 2024","Thu Apr 18 13:20:23 GMT 2024","1383","","Login","","","","usuário obrigatório",""
"passed","Thu Apr 18 13:20:23 GMT 2024","Thu Apr 18 13:20:24 GMT 2024","896","","Login","","","","senha obrigatória",""
"passed","Thu Apr 18 13:20:25 GMT 2024","Thu Apr 18 13:20:25 GMT 2024","719","","Login","","","","senha incorreta",""
