"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 05 20:02:36 GMT 2023","Thu Oct 05 20:02:37 GMT 2023","1403","","Login","","","","usuário obrigatório",""
"passed","Thu Oct 05 20:02:38 GMT 2023","Thu Oct 05 20:02:39 GMT 2023","932","","Login","","","","usuário não existe",""
"passed","Thu Oct 05 20:02:37 GMT 2023","Thu Oct 05 20:02:38 GMT 2023","664","","Login","","","","senha obrigatória",""
"failed","Thu Oct 05 20:02:40 GMT 2023","Thu Oct 05 20:02:45 GMT 2023","5192","","Login","","","","com sucesso",""
"passed","Thu Oct 05 20:02:39 GMT 2023","Thu Oct 05 20:02:40 GMT 2023","853","","Login","","","","senha incorreta",""
